T03,"Population growth and indicators of fertility and mortality",,,,,
1,"Total, all countries or areas",2015,"Population annual rate of increase (percent)",1.18,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2015,"Total fertility rate (children per women)",2.5171,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2015,"Infant mortality for both sexes (per 1,000 live births)",33.915,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
1,"Total, all countries or areas",2015,"Maternal mortality ratio (deaths per 100,000 population)",216,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
1,"Total, all countries or areas",2015,"Life expectancy at birth for both sexes (years)",70.8763,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2015,"Life expectancy at birth for males (years)",68.5291,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2015,"Life expectancy at birth for females (years)",73.3086,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2005,"Population annual rate of increase (percent)",2.439,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2005,"Total fertility rate (children per women)",5.0771,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",81.0492,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
2,Africa,2005,"Life expectancy at birth for both sexes (years)",53.5269,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2005,"Life expectancy at birth for males (years)",51.9582,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2005,"Life expectancy at birth for females (years)",55.1343,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2010,"Population annual rate of increase (percent)",2.522,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2010,"Total fertility rate (children per women)",4.9,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",67.7143,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
2,Africa,2010,"Life expectancy at birth for both sexes (years)",56.7825,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2010,"Life expectancy at birth for males (years)",55.2459,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2010,"Life expectancy at birth for females (years)",58.3389,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2015,"Population annual rate of increase (percent)",2.581,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2015,"Total fertility rate (children per women)",4.7301,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",55.9325,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
2,Africa,2015,"Life expectancy at birth for both sexes (years)",60.2471,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2015,"Life expectancy at birth for males (years)",58.5824,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2015,"Life expectancy at birth for females (years)",61.9302,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2005,"Population annual rate of increase (percent)",1.689,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,"Northern Africa",2005,"Total fertility rate (children per women)",3.1499,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2005,"Infant mortality for both sexes (per 1,000 live births)",38.7083,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
15,"Northern Africa",2005,"Maternal mortality ratio (deaths per 100,000 population)",95,"Excluding Sudan.","World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
15,"Northern Africa",2005,"Life expectancy at birth for both sexes (years)",67.9799,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2005,"Life expectancy at birth for males (years)",66.0142,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2005,"Life expectancy at birth for females (years)",70.0085,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2010,"Population annual rate of increase (percent)",1.698,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,"Northern Africa",2010,"Total fertility rate (children per women)",3.1111,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2010,"Infant mortality for both sexes (per 1,000 live births)",31.6837,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
15,"Northern Africa",2010,"Maternal mortality ratio (deaths per 100,000 population)",82,"Excluding Sudan.","World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
15,"Northern Africa",2010,"Life expectancy at birth for both sexes (years)",69.7712,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2010,"Life expectancy at birth for males (years)",67.8628,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2010,"Life expectancy at birth for females (years)",71.7397,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2015,"Population annual rate of increase (percent)",1.962,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,"Northern Africa",2015,"Total fertility rate (children per women)",3.3416,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2015,"Infant mortality for both sexes (per 1,000 live births)",26.5619,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
15,"Northern Africa",2015,"Maternal mortality ratio (deaths per 100,000 population)",70,"Excluding Sudan.","World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
15,"Northern Africa",2015,"Life expectancy at birth for both sexes (years)",71.1723,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2015,"Life expectancy at birth for males (years)",69.3751,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,"Northern Africa",2015,"Life expectancy at birth for females (years)",73.0163,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2005,"Population annual rate of increase (percent)",2.635,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,"Sub-Saharan Africa",2005,"Total fertility rate (children per women)",5.6394,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2005,"Infant mortality for both sexes (per 1,000 live births)",87.8192,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
202,"Sub-Saharan Africa",2005,"Maternal mortality ratio (deaths per 100,000 population)",717,"Including Sudan.","World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
202,"Sub-Saharan Africa",2005,"Life expectancy at birth for both sexes (years)",50.5507,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2005,"Life expectancy at birth for males (years)",49.0504,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2005,"Life expectancy at birth for females (years)",52.0832,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2010,"Population annual rate of increase (percent)",2.728,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,"Sub-Saharan Africa",2010,"Total fertility rate (children per women)",5.404,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2010,"Infant mortality for both sexes (per 1,000 live births)",73.4586,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
202,"Sub-Saharan Africa",2010,"Maternal mortality ratio (deaths per 100,000 population)",624,"Including Sudan.","World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
202,"Sub-Saharan Africa",2010,"Life expectancy at birth for both sexes (years)",54.0352,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2010,"Life expectancy at birth for males (years)",52.5644,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2010,"Life expectancy at birth for females (years)",55.5158,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2015,"Population annual rate of increase (percent)",2.728,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,"Sub-Saharan Africa",2015,"Total fertility rate (children per women)",5.0966,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2015,"Infant mortality for both sexes (per 1,000 live births)",60.9518,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
202,"Sub-Saharan Africa",2015,"Maternal mortality ratio (deaths per 100,000 population)",546,"Including Sudan.","World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
202,"Sub-Saharan Africa",2015,"Life expectancy at birth for both sexes (years)",57.846,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2015,"Life expectancy at birth for males (years)",56.1994,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,"Sub-Saharan Africa",2015,"Life expectancy at birth for females (years)",59.5024,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2005,"Population annual rate of increase (percent)",2.743,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,"Eastern Africa",2005,"Total fertility rate (children per women)",5.7565,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2005,"Infant mortality for both sexes (per 1,000 live births)",77.8168,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
14,"Eastern Africa",2005,"Life expectancy at birth for both sexes (years)",51.4646,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2005,"Life expectancy at birth for males (years)",49.6863,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2005,"Life expectancy at birth for females (years)",53.2849,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2010,"Population annual rate of increase (percent)",2.787,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,"Eastern Africa",2010,"Total fertility rate (children per women)",5.3773,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2010,"Infant mortality for both sexes (per 1,000 live births)",62.5548,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
14,"Eastern Africa",2010,"Life expectancy at birth for both sexes (years)",56.0655,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2010,"Life expectancy at birth for males (years)",54.3705,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2010,"Life expectancy at birth for females (years)",57.7497,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2015,"Population annual rate of increase (percent)",2.767,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,"Eastern Africa",2015,"Total fertility rate (children per women)",4.9045,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2015,"Infant mortality for both sexes (per 1,000 live births)",50.4258,"Data refers to a 5-year period preceding the reference year.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
14,"Eastern Africa",2015,"Life expectancy at birth for both sexes (years)",60.9734,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2015,"Life expectancy at birth for males (years)",59.0098,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,"Eastern Africa",2015,"Life expectancy at birth for females (years)",62.9195,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,"Middle Africa",2005,"Population annual rate of increase (percent)",3.06,"Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
